latitude,longitude,speed,event,perform,causeCode
49.282851,4.107277,90,1,n,
49.28279229160444,4.107032733287359,90,3,n,
49.28283222301341,4.106824606013958,90,3,n,
49.282794,4.106628,90,3,n,
49.282659,4.106453,90,3,n,
49.282527,4.106311,90,3,n,
49.282417,4.106093,90,3,n,
49.282331,4.105869,90,3,n,
49.28222893043424,4.105593405153644,90,3,n,
49.282146,4.105323,90,3,n,
49.282057,4.105034,90,3,n,
49.281925,4.104679,85,3,n,
49.281786,4.104291,85,3,n,
49.281679,4.103991,85,3,n,
49.281569,4.103691,85,3,n,
49.281484,4.103429,85,3,n,
49.281377,4.10314,85,3,n,
49.281259,4.10279,70,3,n,
49.281145,4.102517,70,3,n,
49.281046,4.102244,70,3,n,
49.280957,4.102021,70,3,n,
49.280868,4.10177,70,3,n,
49.280793,4.101568,70,3,n,
49.2807,4.101333,70,3,n,
49.280629,4.101114,70,3,n,
49.280547,4.100869,60,3,n,
49.280464,4.100628,60,3,n,
49.280367,4.100367,50,3,n,
49.28028,4.100142,40,3,n,
49.280176,4.099886,40,3,n,
49.280069,4.099589,30,3,o,4
49.279973,4.099317,40,3,n,
49.279862,4.099026,50,3,n,
49.279762,4.098754,60,3,n,
49.279642,4.098426,70,3,n,
49.279542,4.09816,80,3,n,
49.279431,4.097848,90,3,n,
49.279318,4.097571,90,3,n,
49.279231,4.097325,90,3,n,
49.279127,4.097039,90,3,n,
49.27902,4.096767,90,3,n,
49.278917,4.096496,90,3,n,
49.278797,4.096163,90,3,n,
49.27868,4.09583,90,3,n,
49.278596,4.095637,90,3,n,
49.278498,4.095372,90,3,n,
49.27842165374136,4.095184247100616,90,3,n,
49.278302,4.09487,90,3,n,
49.278222,4.094648,90,2,n,
